Num_Acc;lum;departement;commune;agglomeration;intersection;meteo;type_collision;lat;long;date
202400033328.0;1;62;62655;1;1;1.0;6.0;50.38730324;2.24540353;2024-05-18 15:00:00
202400033329.0;1;43;43130;1;2;8.0;3.0;45.033198;4.248147;2024-04-08 07:50:00
202400033330.0;5;37;37122;2;2;8.0;1.0;47.35558658;0.69863212;2024-01-18 21:10:00
202400033331.0;1;51;51380;1;1;1.0;7.0;48.873741;3.581618;2024-05-17 17:45:00
202400033332.0;5;54;54339;2;1;1.0;1.0;48.73217;6.18365;2024-03-01 18:30:00
202400033333.0;1;7;7349;1;9;1.0;3.0;44.814971;4.792174;2024-04-10 16:30:00
202400033334.0;5;37;37208;2;1;2.0;6.0;47.36926;0.71899;2024-01-17 08:00:00
202400033335.0;2;53;53029;1;1;1.0;6.0;47.80252259;-0.49773986;2024-04-10 07:08:00
202400033336.0;5;51;51454;2;2;1.0;3.0;49.26461;4.05158;2024-03-01 18:35:00
202400033337.0;1;76;76357;1;1;1.0;4.0;49.59405834;0.26509809;2024-05-17 15:36:00
202400033338.0;1;34;34108;2;1;8.0;6.0;43.43853119;3.7425895;2024-01-18 09:42:00
202400033339.0;1;51;51168;1;1;1.0;6.0;48.91466;4.31367;2024-03-01 12:40:00
202400033340.0;1;21;21496;2;9;1.0;7.0;47.304242;5.417642;2024-04-06 16:30:00
202400033341.0;1;34;34172;2;9;1.0;3.0;43.62957;3.87026;2024-01-18 09:20:00
202400033342.0;1;2A;2A324;1;2;1.0;2.0;42.075108;9.002974;2024-05-17 15:30:00
202400033343.0;1;8;8388;1;2;1.0;3.0;49.696197;4.727603;2024-04-10 16:30:00
202400033344.0;5;50;50129;2;2;2.0;3.0;49.65291;-1.65394;2024-02-24 20:00:00
