Num_Acc,id_vehicule,num_veh,catv,obs,obsm,motor
202100015622,173750,B01,7,0,2,1
202100015622,173751,A01,7,0,2,1
202100015623,173746,A01,99,3,0,1
202100015623,173747,B01,10,4,4,1
202100015623,173748,C01,7,0,4,1
202100015623,173749,D01,7,0,4,1
202100015624,173744,B01,33,0,2,1
202100015624,173745,A01,7,0,2,1
202100015625,173742,B01,7,0,2,1
202100015625,173743,A01,33,0,2,1
202100015626,173741,Z01,7,15,0,0
202100015627,173740,A01,7,0,1,0
202100015628,173736,D01,7,14,0,1
202100015628,173737,C01,7,14,0,1
202100015628,173738,B01,7,0,2,1
202100015628,173739,A01,10,14,0,1
202100015629,173734,B01,1,0,2,5
202100015629,173735,A01,10,0,9,1
202100015630,173733,A01,1,0,1,0
202100015631,173732,A01,7,0,1,1
202100015632,173730,A01,30,0,2,1
202100015632,173731,B01,3,0,2,1
202100015633,173728,Z01,7,0,9,0
202100015633,173729,B01,1,0,2,5
202100015634,173726,A01,7,0,2,1
202100015634,173727,B01,10,0,2,1
202100015635,173724,A01,43,0,2,1
202100015635,173725,B01,7,0,2,1
202100015636,173722,A01,10,0,2,3
202100015636,173723,B01,2,0,2,1
202100015637,173721,A01,7,0,1,2
202100015638,173720,A01,32,0,0,1
202100015639,173718,B01,7,0,2,1
202100015639,173719,A01,30,0,2,1
202100015640,173716,A01,30,0,2,3
202100015640,173717,B01,7,0,2,1
202100015641,173714,A01,33,0,2,1
202100015641,173715,B01,7,0,2,2
202100015642,173712,A01,7,0,2,1
202100015642,173713,B01,32,0,2,1
202100015643,173710,A01,7,0,2,1
202100015643,173711,B01,2,0,2,1
202100015644,173708,B01,7,0,2,1
202100015644,173709,A01,30,0,2,1
202100015645,173706,B01,7,0,2,1
202100015645,173707,A01,30,0,2,1
202100015646,173703,C01,7,0,2,1
202100015646,173704,B01,31,0,2,1
202100015646,173705,A01,7,0,2,1
202100015647,173702,A01,1,12,0,5
202100015648,173701,A01,7,0,1,1
202100015649,173697,B01,2,0,2,1
202100015649,173698,A01,7,0,2,1
202100015650,173696,A01,7,4,0,1
202100015651,173693,A01,7,0,2,1
202100015651,173694,B01,1,0,2,5
202100015651,173695,T01,7,0,2,1
202100015652,173691,A01,7,0,2,1
202100015652,173692,B01,30,0,2,1
202100015653,173689,A01,10,0,2,0
202100015653,173690,B01,7,0,2,1
202100015654,173687,A01,7,0,2,1
202100015654,173688,Z01,1,0,2,5
202100015655,173685,B01,7,0,2,1
202100015655,173686,A01,30,0,2,1
202100015656,173683,B01,1,0,2,0
202100015656,173684,A01,7,0,2,1
202100015657,173681,A01,7,0,0,1
202100015657,173682,B01,2,0,2,1
202100015658,173679,A01,7,0,2,1
202100015658,173680,B01,2,0,2,1
202100015659,173678,A01,2,1,0,1
202100015660,173676,B01,3,0,2,0
202100015660,173677,A01,50,0,2,3
202100015661,173674,A01,7,6,2,1
202100015661,173675,B01,7,0,2,1
202100015662,173672,B01,7,9,2,1
202100015662,173673,A01,7,9,2,1
202100015663,173670,A01,7,0,2,1
202100015663,173671,B01,30,0,2,1
202100015664,173668,A01,7,0,2,1
202100015664,173669,B01,10,0,2,1
202100015665,173666,A01,30,0,2,1
202100015665,173667,B01,7,0,2,1
202100015666,173665,A01,10,0,0,1
202100015667,173663,A01,17,0,2,1
202100015667,173664,B01,7,0,0,1
202100015668,173661,B01,7,0,2,1
202100015668,173662,A01,7,0,2,0
202100015669,173659,B01,2,0,0,1
202100015669,173660,A01,7,0,2,1
202100015670,173658,A01,7,16,0,1
202100015671,173656,A01,7,0,9,1
202100015671,173657,B01,1,0,2,5
202100015672,173655,A01,7,0,1,1
202100015673,173653,A01,33,0,2,1
202100015673,173654,B01,7,0,2,1
202100015674,173650,B01,10,0,2,1
202100015674,173651,A01,7,0,2,1
202100015675,173648,B01,7,0,2,1
202100015675,173649,A01,7,0,2,3
202100015676,173647,A01,1,13,0,0
202100015677,173646,A01,7,13,0,1
202100015678,173645,A01,33,3,0,1
202100015679,173643,B01,7,0,2,1
202100015679,173644,A01,7,0,2,1
202100015680,173642,A01,31,8,0,1
202100015681,173641,A01,7,0,0,0
202100015682,173639,B01,7,0,2,1
202100015682,173640,A01,7,0,2,1
202100015683,173638,A01,7,2,0,1
202100015684,173636,B01,7,0,2,1
202100015684,173637,A01,33,0,2,1
202100015685,173630,A01,7,2,0,1
202100015686,173629,A01,33,3,0,1
202100015687,173627,A01,7,0,9,1
202100015687,173628,B01,1,0,2,5
202100015688,173626,A01,15,13,0,1
202100015689,173625,A01,7,0,0,1
202100015690,173624,A01,33,13,0,1
202100015691,173622,A01,7,0,2,1
202100015691,173623,B01,7,0,2,1
202100015692,173619,B01,7,3,0,1
202100015692,173620,A01,7,0,2,1
202100015693,173616,A01,7,0,0,1
202100015693,173617,B01,32,0,2,1
202100015694,173614,B01,2,0,2,1
202100015694,173615,A01,7,0,2,1
202100015695,173612,A01,33,8,2,1
202100015695,173613,B01,7,0,2,1
202100015696,173611,A01,7,15,0,1
202100015697,173610,A01,2,6,0,1
202100015698,173609,A01,7,2,0,1
202100015699,173608,A01,33,2,0,1
202100015700,173607,A01,7,15,0,1
202100015701,173606,A01,7,0,1,1
202100015702,173605,A01,7,2,0,1
202100015703,173604,A01,7,6,0,1
202100015704,173601,C01,7,0,2,1
202100015704,173602,B01,1,0,2,5
202100015704,173603,A01,33,0,2,1
202100015705,173599,A01,33,0,2,1
202100015705,173600,B01,7,0,2,1
202100015706,173597,B01,2,0,2,1
202100015706,173598,A01,7,0,2,1
202100015707,173593,A01,7,0,2,1
202100015707,173594,Z01,7,0,0,0
202100015708,173589,B01,7,0,2,1
202100015708,173590,C01,7,0,2,1
202100015708,173591,D01,7,0,2,1
202100015708,173592,A01,7,0,0,1
202100015709,173586,A01,7,0,2,3
202100015709,173587,B01,7,0,2,1
202100015709,173588,C01,7,0,1,1
202100015710,173584,B01,7,0,2,1
202100015710,173585,A01,7,0,2,1
202100015711,173582,Z01,0,0,2,0
202100015711,173583,A01,7,0,2,1
202100015712,173581,A01,33,3,0,1
202100015713,173579,A01,80,0,2,3
202100015713,173580,Z01,7,0,2,1
202100015714,173577,B01,7,0,2,1
202100015714,173578,A01,7,4,2,1
202100015715,173576,A01,7,4,0,1
202100015716,173574,B01,7,0,2,1
202100015716,173575,A01,10,0,2,1
202100015717,173572,A01,7,0,2,1
202100015717,173573,B01,7,3,2,1
202100015718,173571,A01,7,4,2,1
202100015719,173569,A01,7,0,2,1
202100015719,173570,B01,7,0,2,2
202100015720,173568,A01,10,4,0,1
202100015721,173567,A01,33,0,0,1
202100015722,173565,A01,7,0,2,1
202100015722,173566,B01,15,0,2,1
202100015723,173563,A01,7,0,2,1
202100015723,173564,B01,15,0,2,0
202100015724,173562,A01,7,14,0,1
202100015725,173557,E01,7,0,2,1
202100015725,173558,D01,7,0,2,1
202100015725,173559,C01,7,0,2,1
202100015725,173560,B01,7,0,2,1
202100015725,173561,A01,10,4,2,1
202100015726,173555,B01,7,0,2,1
202100015726,173556,A01,7,0,2,1
202100015727,173554,Z01,7,0,1,0
202100015728,173551,C01,7,0,2,1
